"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2016","10","150","Anomalisa [videorecording] / Paramount ; a Starburns Industries production ; a Snoot Entertainment production ; produced by Rosa Tran, Duke Johnson, Charlie Kaufman, Dino Stamatopoulos ; directed by Charlie Kaufman & Duke Johnson ; written by Charlie Kaufman.",,"Married men Drama, Man woman relationships Drama, Feature films, Puppet films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,","[2016]"
"Physical","Horizon","VIDEODISC","2016","12","150","The man from U.N.C.L.E. [videorecording] / Warner Bros. Pictures ; in association with Ratpac-Dune Entertainment ; a Davis Entertainment production ; screenplay by Guy Ritchie & Lionel Wigram ; story by Guy Ritchie ... [and others] ; produced by John Davis, Steve Clark-Hall, Lionel Wigram, Guy Ritchie ; directed by Guy Ritchie.",,"United States Central Intelligence Agency Drama, Soviet Union Komitet gosudarstvennoi bezopasnosti Drama, Spies Drama, Feature films, Spy films, Action and adventure films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Warner Home Video,","[2015]"
"Physical","Horizon","BOOK","2005","11","150","Bob books first! / text, Bobby Lynn Maslen ; pictures, John R. Maslen.","Maslen, Bobby Lynn","Readers Primary Juvenile fiction, Reading Primary Juvenile fiction","Scholastic Inc.,","[2000], c1976."
"Physical","Horizon","BOOK","2006","3","150","Bob books first! / text, Bobby Lynn Maslen ; pictures, John R. Maslen.","Maslen, Bobby Lynn","Readers Primary Juvenile fiction, Reading Primary Juvenile fiction","Scholastic Inc.,","[2000], c1976."
"Physical","Horizon","BOOK","2006","4","150","Bob books first! / text, Bobby Lynn Maslen ; pictures, John R. Maslen.","Maslen, Bobby Lynn","Readers Primary Juvenile fiction, Reading Primary Juvenile fiction","Scholastic Inc.,","[2000], c1976."
"Physical","Horizon","BOOK","2006","4","150","A million little pieces / James Frey.","Frey, James, 1969-","Frey James 1969, Drug addicts Rehabilitation Minnesota, Drug addicts Minnesota Biography","Anchor Books,","2004."
"Physical","Horizon","VIDEODISC","2006","5","150","The hitchhiker's guide to the galaxy [videorecording] / a Barber/Birnbaum production, a Hammer and Tongs production, an Everyman Pictures ; producers, Gary Barber ... [and others] ; screenplay by Douglas Adams and Karey Kirkpatrick ; directed by Garth Jennings.",,"Prefect Ford Fictitious character Drama, Dent Arthur Fictitious character Drama, End of the world Drama, Feature films, Science fiction films, Comedy films, Fiction films, Video recordings for the hearing impaired","Touchstone Home Entertainment : Distributed by Buena Vista Home Entertainment,","[2005]"
"Physical","Horizon","VIDEODISC","2006","6","150","House of sand and fog",,"Video recordings for the hearing impaired, Suspense films, Feature films, Dwellings Drama, Retired military personnel Iran Drama",,
"Physical","Horizon","VIDEODISC","2006","6","150","House of Flying Daggers [videorecording] / Elite Group (2003) Enterprises, Inc. presents an Ekdo Films, Zhang Yimou Studio production in collaboration with Beijing New Picture Film Co., Ltd. ; produced by Bill Kong, Zhang Yimou ; screenplay by Li Feng, Zhang Yimou, Wang Bin ; story, Zhang Yimou, Li Feng, Wang Bin ; directed by Zhang Yimou.",,"Secret societies China Drama, Police China Drama, Man woman relationships China Drama, Feature films","Columbia TriStar Home Entertainment : Distributed by Sony Pictures Home Entertainment,","[2005]"
"Physical","Horizon","BOOK","2006","7","150","Uncataloged Folder or Bag--GWD",,,,
"Physical","Horizon","VIDEODISC","2006","8","150","National treasure [videorecording] / Walt Disney Pictures ; Jerry Bruckheimer Films ; Junction Entertainment ; Saturn Films ; produced by Jerry Bruckheimer, Jon Turteltaub ; screenplay, Jim Kouf and Cormac Wibberley & Marianne Wibberley ; story, Jim Kouf, Oren Aviv & Charles Segars ; directed by Jon Turteltaub.",,"Cultural property Drama, United States Declaration of Independence Drama, Feature films, Video recordings for the hearing impaired","Walt Disney Home Entertainment ; Distributed by Buena Vista Home Entertainment,","[2005]"
"Physical","Horizon","VIDEODISC","2006","8","150","Nanny McPhee [videorecording] / Universal Pictures and Studio Canal present in association with Metro-Goldwyn-Mayer Pictures, a Working Title production in association with Three Strange Angels ; produced by Tim Bevan, Lindsay Doran, Eric Fellner, Debra Hayward ; screenplay by Emma Thompson ; directed by Kirk Jones.",,"Nannies England Drama, Widowers England Drama, Children and adults England Drama, Feature films, Comedy films, Fantasy films, Childrens films, Video recordings for the hearing impaired","Universal Pictures,","[2006]"
"Physical","Horizon","VIDEODISC","2006","8","150","The aviator [videorecording] / Warner Bros. ; Miramax Films ; Initial Entertainment Group ; Forward Pass ; Appian Way ; Cappa Productions ; IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG ; produced by Sandy Climan, Charles Evans, Jr., Graham King, Michael Mann ; written by John Logan ; directed by Martin Scorsese.",,"Hughes Howard 1905 1976 Drama, Air pilots Drama, Man woman relationships Drama, Feature films, Biographical films, Video recordings for the hearing impaired","Warner Home Video,","[2005]."
"Physical","Horizon","VIDEODISC","2006","9","150","Match point [videorecording] / British Broadcasting Corporation ; Magic Hour Media ; Thema Production ; Invicta Capital Ltd. ; BBC Films ; produced by Letty Aronson, Lucy Darwin, Gareth Wiley ; written by Woody Allen ; directed by Woody Allen.",,"Triangles Interpersonal relations Drama, Tennis players Drama, Brothers and sisters Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","DreamWorks Pictures : Distributed by Universal Studios Home Entertainment,","[2006]"
"Physical","Horizon","VIDEODISC","2006","9","150","interpreter",,"Video recordings for the hearing impaired, Feature films, Attempted assassination Drama, United Nations Headquarters Drama, Translators Drama",,
"Physical","Horizon","VIDEODISC","2006","9","150","Junebug [videorecording] / a Sony Pictures Classics release, an Epoch Films production ; producers, Mindy Goldberg, Mike S. Ryan ; written by Angus MacLachlan ; directed by Phil Morrison.",,"Art dealers Drama, Families North Carolina Drama, Feature films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,","[2006]"
"Physical","Horizon","VIDEODISC","2006","9","150","The notebook [videorecording] / Avery Pix ; Gran Via ; New Line Cinema ; produced by Lynn Harris, Mark Johnson ; screenplay, Jeremy Leven ; directed by Nick Cassavetes.",,"First loves Drama, Social classes Drama, Young adults Conduct of life Drama, Feature films, Video recordings for the hearing impaired","New Line Home Entertainment ; Distributed by Warner Home Video,","[2005]."
"Physical","Horizon","VIDEODISC","2006","9","150","Meet the Fockers",,"Video recordings for the hearing impaired, Comedy films, Feature films, Parents in law Drama",,
"Physical","Horizon","VIDEODISC","2006","10","150","Monty Pythons flying circus",,"Video recordings for the hearing impaired, Television comedies Great Britain",,
"Physical","Horizon","VIDEODISC","2006","12","150","Good night, and good luck [videorecording] / Warner Independent Pictures ; 2929 Productions ; Participant Productions ; Davis-Films ; Redbus Pictures ; Tohokashinsha Film Company ; Section Eight Ltd. ; Metropolitan ; produced by Grant Heslov ; screenplay by George Clooney & Grant Heslov ; directed by George Clooney.",,"Murrow Edward R Drama, McCarthy Joseph 1908 1957 Drama, United States History 20th century Drama, CBS News Drama, Television news anchors Drama, Feature films, Historical films, Video recordings for the hearing impaired","Warner Home Video,","[2006]"
"Physical","Horizon","VIDEODISC","2007","2","150","Flightplan [videorecording] / Touchstone Pictures and Imagine Entertainment present a Brian Grazer production ; produced by Brian Grazer ; written by Peter A. Dowling and Billy Ray ; directed by Robert Schwentke.",,"Mothers of kidnapped children Drama, Flight crews Drama, Air pilots Drama, Flight attendants Drama, Feature films, Thrillers Motion pictures, Video recordings for the hearing impaired","Touchstone Home Entertainment : Distributed by Buena Vista Home Entertainment,","[2006]"
"Physical","Horizon","VIDEODISC","2007","3","150","Over the hedge [videorecording] / DreamWorks Animation ; DreamWorks SKG ; produced by Bonnie Arnold ; screenplay by Len Blum ... [and others] ; directed by Tim Johnson, Karey Kirkpatrick.",,"Procyon Juvenile drama, Raccoon Juvenile drama, Forest animals Juvenile drama, Suburbs Juvenile drama, Feature films, Animated films, Childrens films, Comedy films, Action and adventure films, Fantasy films, Video recordings for the hearing impaired","DreamWorks Home Entertainment,","c2006."
"Physical","Horizon","VIDEODISC","2007","5","150","Superman returns",,"Fantasy films, Man woman relationships Drama, Video recordings for the hearing impaired, Superman Fictitious character Drama, Enemies Persons Drama, Feature films, Superman films, Lane Lois Fictitious character Drama",,
"Physical","Horizon","VIDEODISC","2007","6","150","Capote",,"Video recordings for the hearing impaired, Feature films, Smith Perry Edward 1928 1965 Drama, Murderers Interviews Drama, Capote Truman 1924 1984 Drama",,
"Physical","Horizon","VIDEODISC","2007","8","150","Clerks II [videorecording] / View Askew Productions ; Weinstein Company ; produced by Scott Mosier, Kevin Smith ; written by Kevin Smith ; directed by Kevin Smith.",,"Clerks Drama, Restaurants Employees Drama, Fast food restaurants Drama, Feature films, Comedy films, Video recordings for the hearing impaired","The Weinstein Co.,","c2006."
"Physical","Horizon","VIDEODISC","2007","8","150","Lady in the water",,"Fantasy films, Video recordings for the hearing impaired, Feature films, Characters and characteristics in literature Drama, Thrillers Motion pictures television etc, Maintenance Drama, Monsters in literature Drama",,
"Physical","Horizon","VIDEODISC","2007","10","150","Norbit",,"Comedy films, Triangles Interpersonal relations Drama, Video recordings for the hearing impaired, Jealousy Drama, Betrothal Drama, Feature films, Overweight women Drama",,
