,id,collection,dc.contributor.advisor,dc.contributor.author[],dc.title[de],dc.title[en],tuhh.contributor.referee,PPN,Verfasser,sonstPers,Titel,RefID_plus_KoRef,Ref,RefKopie,RefID_plus_KoRefKopie
3965.0,5132,20.500.12738/6,"Schwarting, Frauke","Discher, Annika::rp06916::600",Zur Bedeutung der Gesellschaft für die Entwicklung von Essstörungen und deren Reflektion in mädchenspezifischen Präventionskonzepten,," Güntner, Simon ",630150826,"Discher, Annika","Schwarting, Frauke [Ref.]; Güntner, Simon [Ko-Ref.]",Zur Bedeutung der Gesellschaft für die Entwicklung von Essstörungen und deren Reflektion in mädchenspezifischen Präventionskonzepten," Güntner, Simon [Ko-Ref.]","Schwarting, Frauke [Ref.]","Schwarting, Frauke"," Güntner, Simon "
3695.0,5360,20.500.12738/6,"Pareigis, Stephan","Eickhoff, Sebastian::rp07132::600",Ein modulares Sensor-Aktor-System für mobile Robotik,," Korf, Franz ",662632974,"Eickhoff, Sebastian","Pareigis, Stephan [Ref.]; Korf, Franz [Ko-Ref.]",Ein modulares Sensor-Aktor-System für mobile Robotik," Korf, Franz [Ko-Ref.]","Pareigis, Stephan [Ref.]","Pareigis, Stephan"," Korf, Franz "
4020.0,5134,20.500.12738/6,"Färber, Christine","Richter, Sandra::rp06917::600",Gesundheitsauswirkungen des Setting-Ansatzes in Kitas: Der Einfluss eines Hamburger Modellprojektes auf die MitarbeiterInnenzufriedenheit und -gesundheit,," Kliche, Thomas",630155089,"Richter, Sandra","Färber, Christine; Kliche, Thomas",Gesundheitsauswirkungen des Setting-Ansatzes in Kitas," Kliche, Thomas","Färber, Christine","Färber, Christine"," Kliche, Thomas"
3808.0,5376,20.500.12738/6,"Gennis, Martin","Knudsen, Martin::rp07147::600",Realisierung eines mobilen Informationsdienstes durch eine Web 2.0 Applikation auf Smartphones,," Mintert, Stefan ",663400872,"Knudsen, Martin","Gennis, Martin [Ref.]; Mintert, Stefan [Ko-Ref.]",Realisierung eines mobilen Informationsdienstes durch eine Web 2.0 Applikation auf Smartphones," Mintert, Stefan [Ko-Ref.]","Gennis, Martin [Ref.]","Gennis, Martin"," Mintert, Stefan "
3807.0,5377,20.500.12738/6,"Schmidt, Ralph","Zakarwal, Schafiqa::rp07148::600",Afghanische Kultur ade- Interviewgestützte Befragung afghanischer Jugendlicher zu Einfluss und Wirkung audiovisueller Medien auf die kulturelle Identität,," Kübler, Hans-Dieter ",66340200X,"Zakarwal, Schafiqa","Schmidt, Ralph [Ref.]; Kübler, Hans-Dieter [Ko-Ref.]",Afghanische Kultur ade," Kübler, Hans-Dieter [Ko-Ref.]","Schmidt, Ralph [Ref.]","Schmidt, Ralph"," Kübler, Hans-Dieter "
4688.0,5136,20.500.12738/6,"Biebrach-Plett, Ulla","Sundas, Claudia::rp06919::600",Modellprojekt „filmreif“ : Konzeption eines interkulturellen medienpädagogischen Videoprojektes mit Kindern,," Lüdemann, Otto ",51844483X,"Sundas, Claudia","Biebrach-Plett, Ulla [Ref.]; Lüdemann, Otto [Ko-Ref.]",Modellprojekt 'filmreif': Konzeption eines interkulturellen medienpädagogischen Videoprojektes mit Kindern," Lüdemann, Otto [Ko-Ref.]","Biebrach-Plett, Ulla [Ref.]","Biebrach-Plett, Ulla"," Lüdemann, Otto "
3806.0,5378,20.500.12738/6,"Schmidt, Ralph","Jeretzky, Nicole::rp07149::600","Magie der Marke : Rezeptionsstudie zu Charakter, Präsenz und Wirkung von Medienmarken bei Kindern",," Gundlach, Hardy ",663403200,"Jeretzky, Nicole","Schmidt, Ralph [Ref.]; Gundlach, Hardy [Ko-Ref.]",Magie der Marke," Gundlach, Hardy [Ko-Ref.]","Schmidt, Ralph [Ref.]","Schmidt, Ralph"," Gundlach, Hardy "
3805.0,5379,20.500.12738/6,"Hofmann, Ulrich","Tamancoldi Lechte, Yasmin N.::rp07150::600",Social Media Marketing in der Kommunikationspolitik : Fallbeispiel SWOT-Analyse zur Verbesserung der Promotion-Strategie von Schwarze Dose 28,," Gundlach, Hardy ",663404932,"Tamancoldi Lechte, Yasmin N.","Hofmann, Ulrich [Ref.]; Gundlach, Hardy [Ko-Ref.]",Social Media Marketing in der Kommunikationspolitik," Gundlach, Hardy [Ko-Ref.]","Hofmann, Ulrich [Ref.]","Hofmann, Ulrich"," Gundlach, Hardy "
3815.0,5369,20.500.12738/6,"Lewandowski, Dirk","Hilbig, Svetlana::rp07141::600",Entwicklerportal als Geschäftsmodell 2.0: seine Relevanz und Zukunftsfähigkeit für Telekommunikationsunternehmen (am Beispiel von „Developer Garden”),," Gundlach, Hardy ",663322782,"Hilbig, Svetlana","Lewandowski, Dirk [Ref.]; Gundlach, Hardy [Ko-Ref.]",Entwicklerportal als Geschäftsmodell 2.0: seine Relevanz und Zukunftsfähigkeit für Telekommunikationsunternehmen (am Beispiel von Developer Gardenʺ)," Gundlach, Hardy [Ko-Ref.]","Lewandowski, Dirk [Ref.]","Lewandowski, Dirk"," Gundlach, Hardy "
3688.0,5368,20.500.12738/6,"Meisel, Andreas","Liedtke, Andreas::rp07140::600",Realisierung eines robusten Verfahrens zur Identifikation von Positionsmarken unter Verwendung von Bildverarbeitung in Videobildern,," Baran, Reinhard ",663207673,"Liedtke, Andreas","Meisel, Andreas [Ref.]; Baran, Reinhard [Ko-Ref.]",Realisierung eines robusten Verfahrens zur Identifikation von Positionsmarken unter Verwendung von Bildverarbeitung in Videobildern," Baran, Reinhard [Ko-Ref.]","Meisel, Andreas [Ref.]","Meisel, Andreas"," Baran, Reinhard "
3804.0,5380,20.500.12738/6,"Krauß-Leichert, Ute","Haeupler, Yvonne::rp07151::600","Bibliothekare in der Selbstständigkeit - Erfahrungen, Berufsweg und Arbeitsfeld",," Schade, Frauke ",663406005,"Haeupler, Yvonne","Krauß-Leichert, Ute [Ref.]; Schade, Frauke [Ko-Ref.]",Bibliothekare in der Selbstständigkeit," Schade, Frauke [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Schade, Frauke "
3814.0,5370,20.500.12738/6,"Kübler, Hans-Dieter","Keunecke, Elisabeth::rp07142::600",digital natives- mit Medien aufwachsen: Eine Fallstudie zur Mediennutzung von  zwei- bis sechsjährigen Kindern,," Debacher, Uwe ",66332503X,"Keunecke, Elisabeth","Kübler, Hans-Dieter [Ref.]; Debacher, Uwe [Ko-Ref.]",Digital natives - mit Medien aufwachsen," Debacher, Uwe [Ko-Ref.]","Kübler, Hans-Dieter [Ref.]","Kübler, Hans-Dieter"," Debacher, Uwe "
3803.0,5381,20.500.12738/6,"Verch, Ulrike","Häse, Sandra::rp07152::600",Nationalsozialistische Literatur in Bibliotheken – Praxisanalyse und Konzipierung eines einheitlichen Sekretierungssystems,," Gläser, Christine ",663406943,"Häse, Sandra","Verch, Ulrike [Ref.]; Gläser, Christine [Ko-Ref.]",Nationalsozialistische Literatur in Bibliotheken," Gläser, Christine [Ko-Ref.]","Verch, Ulrike [Ref.]","Verch, Ulrike"," Gläser, Christine "
4667.0,5382,20.500.12738/6,"Schmidt, Ralph","Erdmann, Patrick::rp07153::600","p2p – Bedrohung und Chance : Analysen zur Entwicklung der Technik, Nutzung und rechtlichen Situation von Internet-Tauschbörsen und deren Einfluss auf die Musik- und Filmwirtschaft",," Ludwig, Johannes ",52368519X,"Erdmann, Patrick","Schmidt, Ralph [Ref.]; Ludwig, Johannes [Ko-Ref.]",p2p - Bedrohung und Chance," Ludwig, Johannes [Ko-Ref.]","Schmidt, Ralph [Ref.]","Schmidt, Ralph"," Ludwig, Johannes "
